ra,dec,object_id,gmag,rmag,imag,zmag,ymag,gmag_err,rmag_err,imag_err,zmag_err,ymag_err,photoz_median,stellar_mass,sfr,ellipticity,position_angle
353.230233345132,0.6741555819443079,42691992102133302,22.633669,21.233461,20.24556,19.85499,19.644976,0.00607137,0.002298319,0.0012474249,0.0013505847,0.0023593525,0.58262485,86637000000.0,0.6234,0.15518215940824054,264.3242038677332
352.72552091389224,0.22204535355715382,42692254095144042,24.66607,22.908827,21.563854,21.045908,20.794174,0.03221327,0.01064535,0.0039820196,0.004094495,0.0073003764,0.7437426,67567000000.0,0.18389,0.15033713607639743,-5.253105344470114
352.86420980676803,0.5562790382619575,42692262685078420,24.118814,22.417427,21.255337,20.80214,20.505806,0.017271765,0.0046549514,0.002088906,0.002208128,0.0038109284,0.6603323,52730000000.0,0.24991,0.2417695590816008,-76.99622132833014
352.676901849674,0.11282184134693905,42692391534090135,22.39932,21.8571,21.11421,20.763494,20.544127,0.025871547,0.008805135,0.00554794,0.007964165,0.013703388,0.61815476,62196000000.0,1.0293,0.3585386027449786,36.550776414450524
352.6742637271187,0.4407675500930065,42692395829069347,22.618368,21.718111,20.685524,20.318386,20.062597,0.0064702295,0.0035435734,0.0019298765,0.0022558253,0.0038204885,0.72680163,91461000000.0,3.781,0.05214091539303167,247.8929673378118
352.37969339841516,0.8940303582196734,42692546152905379,22.63346,20.989975,20.07957,19.674814,19.453165,0.012565864,0.0049194014,0.0025103048,0.002881033,0.006137605,0.47643113,83726000000.0,0.00010092,0.25212379488872205,25.42154480629783
352.1730315115777,0.4213162134860213,42692670706974582,26.060215,23.680256,22.317514,21.386692,20.925943,0.09283603,0.01740805,0.0072383382,0.0048456034,0.0069808257,1.0138875,198470000000.0,0.0051128,0.0434821730425371,-32.180938748864634
352.2606458785102,0.6011823573957576,42692675001944007,21.845812,20.097733,19.353004,18.95778,18.750021,0.0027546936,0.0008069551,0.0005755762,0.0006390407,0.0010378526,0.3758437,122710000000.0,0.00010045,0.1403621632247184,242.64852602768468
351.98843536976,0.17010149369080396,42692803850954050,24.245108,22.430256,21.126057,20.263254,19.943823,0.024469297,0.008195187,0.0035336122,0.002555036,0.0040541897,0.93458074,518370000000.0,3.0218,0.259197848100974,-18.55381827693634
352.0346293990586,0.6037107384012895,42692812440895319,21.938963,20.26315,19.257778,18.83843,18.664299,0.0039566215,0.0011913946,0.00070497073,0.00072977535,0.0013103776,0.52469826,266560000000.0,0.00010049,0.05789576941525021,-51.25752728247764
352.01797185245664,0.9913151649038457,42692821030828562,26.477348,24.778122,23.417332,22.450455,22.091959,0.1942835,0.044325873,0.017385175,0.012882575,0.021850348,0.99843496,58771000000.0,0.00010114,0.29624985797104053,254.84567351719582
353.65308010193104,0.2610647868879408,42697064458516794,25.921667,24.050316,22.631582,21.733671,21.462248,0.09308351,0.01919085,0.006583646,0.005161962,0.008656436,0.92423844,101370000000.0,0.00010109,0.32489233613321167,-26.181703704514376
353.7531323146774,0.5975693129404123,42697073048450856,23.574425,22.173517,20.719656,20.174488,19.83177,0.024498306,0.011355686,0.004393283,0.006514499,0.008652492,0.7336716,141930000000.0,2.3159,0.47503188267398233,263.0040402083872
353.6809799582062,0.6871395718708061,42697077343389651,23.784489,22.799906,21.739439,21.30951,21.080542,0.017623639,0.010786074,0.005186481,0.006324011,0.010850376,0.76641977,53063000000.0,2.729,0.2288289301400651,-78.1843780546375
353.5861626132146,0.639643685692333,42697210487408296,23.052692,22.216824,21.084326,20.293798,20.022274,0.009009082,0.005306505,0.002781481,0.002943521,0.004916054,0.9320471,192300000000.0,4.6795,0.1524681689769024,-76.63334185092515
149.11125245990806,2.184696019797867,43153924424751065,25.475286,23.713484,22.461098,21.707167,21.498985,0.050367583,0.01945684,0.006136601,0.0053866613,0.015280855,0.878043,59556000000.0,0.3787,0.14362685547498244,-65.44738285452581
149.14650297117532,2.5647724784907946,43153933014687432,24.467077,22.955824,21.640306,21.014801,20.86406,0.022017544,0.007736572,0.0028143662,0.0025927024,0.005635968,0.9335552,54992000000.0,0.48084,0.18637294876851185,226.47800169113347
148.7527328172886,2.40810732679693,43154203597621614,26.701962,24.52221,23.221706,22.364113,21.86926,0.4100087,0.051244356,0.020505585,0.014575046,0.02445092,1.0370569,72492000000.0,0.00010089,0.14732894371891736,-27.306093785381577
148.52942069877767,1.5201779187975961,43154319561744697,23.165289,21.71197,20.608608,20.231256,19.959536,0.015470193,0.0044033434,0.0023386986,0.002065679,0.0042084632,0.648317,72684000000.0,0.61773,0.15773212277434812,24.509507947274273
150.83572382204068,1.6425810081468155,43158172147411695,23.232468,22.355253,21.504755,20.791765,20.46133,0.0051311203,0.0033925278,0.001656666,0.0016066672,0.002813086,0.9542474,137700000000.0,3.335,0.24363266799953054,-58.98396351232083
150.67809751676165,2.889834908258564,43158339651128556,20.953846,19.28979,18.48652,18.086592,17.877115,0.0014900061,0.0007245903,0.00040974488,0.000556727,0.0008717698,0.24155271,96415000000.0,0.29176,0.04337196523518505,248.9952947442523
150.58382892942632,2.9374006199843925,43158339651133455,26.812088,24.850956,23.431303,22.537186,22.092642,0.124438204,0.04624604,0.012896144,0.009337024,0.014060123,1.1873679,55283000000.0,0.063571,0.24087905642987695,-83.06812645544184
150.37528307933016,2.3923747411859635,43158464205185135,23.957453,22.253437,20.829624,20.359346,20.066721,0.0051696203,0.0016032727,0.00046675635,0.00051457033,0.00079325424,0.7393898,140940000000.0,0.046231,0.25542749456062375,43.5207508141032
150.36702311077102,2.396032134563988,43158464205185392,23.400175,21.974682,20.765081,20.291656,20.088997,0.0039539877,0.0017682925,0.0006956394,0.0007947262,0.0012977447,0.69109416,87411000000.0,1.4965,0.36557540569207003,247.30635141392548
150.22851615032914,2.523914361593905,43158605939099226,20.194178,19.13498,18.636091,18.231443,18.163824,0.00047871462,0.00027268863,0.0001706596,0.00019944303,0.00033300414,0.33993405,111450000000.0,9.9805,0.26755288507383057,-35.42939226724623
150.14892561756037,2.3225105387691642,43158734788140961,22.48335,21.065182,20.355686,19.98098,19.748741,0.0018725421,0.0008271333,0.0004936523,0.0005884026,0.0009563275,0.4635339,50319000000.0,2.332,0.5383195689630105,-56.613659298699616
149.67406710399257,1.5876003392913733,43158996781124677,23.578085,21.892807,20.773376,20.074045,19.753635,0.011610562,0.003522826,0.0013824069,0.0013901277,0.0021160387,0.7870211,155680000000.0,0.47186,0.3845876441520967,25.12731263238655
149.76674840004688,2.9709647008235858,43159026845903398,23.183989,21.851158,20.628635,20.182034,19.918583,0.0063703298,0.0027033123,0.0009804767,0.0010807117,0.0018288797,0.73987824,117340000000.0,1.0825,0.11931608558743634,-66.6885793779322
151.73800213996262,2.7145910739149652,43163008280576343,25.356771,23.808681,22.559015,21.577404,21.172157,0.14435455,0.047394097,0.020626945,0.010878887,0.020794414,1.1648042,124010000000.0,0.056122,0.1449169489443375,-3.201356387105079
151.5281167443851,2.3445912022505597,43163137129594183,25.213425,23.294306,21.952293,21.179493,21.078218,0.123731025,0.035243113,0.013705372,0.007253097,0.02249885,0.892424,101980000000.0,0.00035437,0.12295949484938795,-42.718350154304886
151.3923026722848,2.232218054319041,43163270273580922,24.37953,23.08198,22.200838,21.192884,21.157887,0.12170086,0.057761263,0.029942676,0.0321019,0.04814057,1.0132924,74016000000.0,4.3814,0.12489201145097784,234.2183720471383
